assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,-6,0,None,1,148508,0,0,-1,1,34.7,0,3,0.0,0.3,-2,Mahmoud Ahmed,0.8,3,0,18.7,465,False,27.0,282,Suspended until 22 Sep,2019-08-31T16:30:09.941826Z,54,0,0,0,148508.jpg,0.8,1,0,Ibrahim Hassan,1.6,False,None,s,2,7,128.0,3,39821,393,130129,42225,0.1,0.6,Trézéguet,1
0,2,49,None,None,2,230046,0,0,1,-1,25.6,0,3,3.3,3.3,2,Douglas Luiz,3.8,4,1,11.8,470,False,75.4,258,,None,46,0,0,0,230046.jpg,3.8,0,0,Soares de Paulo,4.8,False,None,a,2,7,16.0,15,327139,35775,86638,19059,0.8,3.3,Douglas Luiz,1
0,0,0,None,None,0,88175,-1,1,-1,1,0.0,0,1,-0.5,-0.5,0,Lovre,0.0,0,0,0.0,474,False,0.0,0,,None,44,0,0,0,88175.jpg,0.0,0,0,Kalinic,0.1,False,None,a,2,7,0.0,0,351,70,1905,219,0.0,0.0,Kalinic,0
0,0,0,None,None,0,184704,-1,1,-1,1,0.0,0,3,-0.5,-0.5,0,Marvelous,0.0,0,0,0.0,491,False,0.0,0,,None,44,0,0,0,184704.jpg,0.0,0,0,Nakamba,0.3,False,None,a,2,7,0.0,0,9702,7795,7343,2002,0.0,0.0,Nakamba,0
0,0,53,100,100,0,56917,0,0,0,0,11.1,0,2,1.5,1.5,1,Steve,1.5,8,0,10.7,58,False,92.0,360,,2019-07-30T11:30:12.364426Z,50,0,0,0,56917.jpg,1.5,0,0,Cook,0.2,False,None,a,3,91,4.0,6,3353,695,5140,807,0.3,1.2,Steve Cook,0
0,0,56,None,None,0,126184,0,0,-1,1,24.1,0,2,1.2,1.2,1,Nathan,1.2,8,0,18.1,59,False,92.0,360,,None,49,0,0,0,126184.jpg,1.2,0,0,Aké,12.6,False,None,a,3,91,65.0,5,67884,10774,393186,44812,0.2,1.0,Aké,1
0,0,18,0,0,0,41320,0,0,0,0,29.6,0,2,0.0,0.0,0,Charlie,0.8,2,0,5.2,60,False,22.4,126,Knee injury - Unknown return date,2019-08-25T15:30:14.994228Z,45,0,0,0,41320.jpg,1.5,0,0,Daniels,0.2,False,None,i,3,91,0.0,3,2905,21,9736,1532,0.2,0.7,Daniels,0
0,2,50,None,None,0,223911,0,0,0,0,2.5,1,2,3.0,3.0,1,Chris,3.0,7,1,16.6,61,False,91.6,270,,None,45,0,0,0,223911.jpg,4.0,0,0,Mepham,1.6,False,None,a,3,91,72.0,12,79829,3893,47891,5127,0.7,2.7,Mepham,0
0,0,0,0,0,0,15149,0,0,0,0,0.0,0,2,0.0,0.0,0,Simon,0.0,0,0,0.0,62,False,0.0,0,Anterior cruciate ligament - Unknown return date,2019-06-25T11:30:06.976202Z,45,0,0,0,15149.jpg,0.0,0,0,Francis,0.0,False,None,i,3,91,0.0,0,87,15,309,35,0.0,0.0,Francis,0
0,0,39,75,None,0,54469,0,0,0,0,10.0,0,2,0.9,1.2,1,Adam,1.2,7,0,9.9,63,False,26.6,310,Hamstring injury - 75% chance of playing,2019-08-31T17:30:17.323480Z,45,0,0,0,54469.jpg,1.2,0,0,Smith,1.0,False,None,d,3,91,63.0,5,8779,358,37665,7153,0.3,1.1,Adam Smith,1
0,0,0,0,0,0,235530,0,0,-1,1,0.0,0,2,0.0,0.0,0,Lloyd,0.0,0,0,0.0,64,False,0.0,0,Ankle injury - Unknown return date,2019-08-04T16:00:15.955778Z,44,0,0,0,235530.jpg,0.0,0,0,Kelly,0.1,False,None,i,3,91,0.0,0,515,155,3282,284,0.0,0.0,Kelly,0
0,0,13,None,None,0,171129,0,0,0,0,16.6,0,2,0.5,0.5,0,Diego,0.5,1,0,4.1,65,False,21.0,90,,None,40,0,0,0,171129.jpg,2.0,0,0,Rico,7.0,False,None,a,3,91,3.0,2,239628,55657,145154,23155,0.1,0.5,Rico,0
0,0,0,None,None,0,222434,0,0,0,0,0.0,0,2,0.0,0.0,0,Jack,0.0,0,0,0.0,66,False,0.0,0,,None,40,0,0,0,222434.jpg,0.0,0,0,Simpson,7.2,False,None,a,3,91,0.0,0,61516,16940,118184,13786,0.0,0.0,Simpson,0
